pool,chain,wallet_address,token_id_chain,root_token_id,current_token_id,initial_capital_usd,current_position_value_usd,current_unclaimed_usd,current_value_usd,gross_pnl_usd,gas_cost_native,gas_cost_usd,net_pnl_usd_after_gas,basis_source,wallet_summary_pnl_reference_usd,wallet_summary_claimed_reference_usd,status,warnings
USDT-GENIUS,BNB,0x9b73E95909Be63F02b06130716384c3030C74D8D,6840242->6840341,6840242,6840341,5.97,5.72,0.74882355,6.46882355,0.49882355,8.34658e-05,0.05711463,0.44170892,WALLET_NFT_POSITION_INITIAL_TOTAL,0.76686282,0.0,Active,
USDT-memes,BNB,0x9b73E95909Be63F02b06130716384c3030C74D8D,6838232->6838530,6838232,6838530,3.01,0.03,0.0,0.03,-2.98,0.00010249135,0.07013358,-3.05013358,WALLET_NFT_POSITION_INITIAL_TOTAL,0.0,0.0,Burned,
USDT-memes,BNB,0x9b73E95909Be63F02b06130716384c3030C74D8D,6838701,6838701,6838701,2.58,2.37,0.03337108,2.40337108,-0.17662892,2.754285e-05,0.01884724,-0.19547615,WALLET_NFT_POSITION_INITIAL_TOTAL,-0.42674444,0.0,PLANNED,rebalance job for token 6838701 has no linked new_token_id
